=== SWANPASS REVIEW AUDIT REPORT ===
Date: 2026-03-08T08:39:00.761Z
Total listings: 454

LISTING                                                SOURCE_URL                                                    API_CT  BEFORE   AFTER  STATUS
hong-massage-chiang-mai                                https://swanpass.com/listing/hong-massage-chiang-mai               8       8       8  PASS
heaven-prime-nuru-massage-bangkok                      https://swanpass.com/listing/heaven-prime-nuru-massage-bangkok      11       0      11  PASS
mossa-hue                                              https://swanpass.com/listing/mossa-hue                            25      25      25  PASS
honey-lemon-spa                                        https://swanpass.com/listing/honey-lemon-spa                      18      18      18  PASS
absolute-paradise-spa                                  https://swanpass.com/listing/absolute-paradise-spa                 4       4       4  PASS
caesar-massage                                         https://swanpass.com/listing/caesar-massage                        7       0       7  PASS
taragon                                                https://swanpass.com/listing/taragon                               3       3       3  PASS
zood-spa-zapa                                          https://swanpass.com/listing/zood-spa-zapa                         5       5       5  PASS
melody-spa                                             https://swanpass.com/listing/melody-spa                           19      19      19  PASS
purple-gentlemen-club-2                                https://swanpass.com/listing/purple-gentlemen-club-2              10      10      10  PASS
qian-qian-massage-spa                                  https://swanpass.com/listing/qian-qian-massage-spa                 4       4       4  PASS
sweet-at-heart                                         https://swanpass.com/listing/sweet-at-heart                        3       3       3  PASS
czech-club                                             https://swanpass.com/listing/czech-club                          118     118     118  PASS
vovo                                                   https://swanpass.com/listing/vovo                                 14       0      14  PASS
le-ciel-laputa-bkk                                     https://swanpass.com/listing/le-ciel-laputa-bkk                    4       0       4  PASS
1society                                               https://swanpass.com/listing/1society                             18      18      18  PASS
little-duck-massage                                    https://swanpass.com/listing/little-duck-massage                   2       2       2  PASS
lovelove                                               https://swanpass.com/listing/lovelove                              3       3       3  PASS
comely                                                 https://swanpass.com/listing/comely                                0       0       0  PASS
diamond-spa                                            https://swanpass.com/listing/diamond-spa                           0       0       0  PASS
mind-mint-spa                                          https://swanpass.com/listing/mind-mint-spa                         9       9       9  PASS
leelawadee-massage-p-mook                              https://swanpass.com/listing/leelawadee-massage-p-mook             2       2       2  PASS
x-ray-exclusive-spa                                    https://swanpass.com/listing/x-ray-exclusive-spa                   5       5       5  PASS
alice-in-wonderland                                    https://swanpass.com/listing/alice-in-wonderland                   0       0       0  PASS
maria-massage-bangkok                                  https://swanpass.com/listing/maria-massage-bangkok               118     118     118  PASS
obsessions-ladyboy-bar                                 https://swanpass.com/listing/obsessions-ladyboy-bar               22      22      22  PASS
crazy-house                                            https://swanpass.com/listing/crazy-house                         310     310     310  PASS
lion-spa                                               https://swanpass.com/listing/lion-spa                              0       0       0  PASS
saowanee-massage                                       https://swanpass.com/listing/saowanee-massage                      0       0       0  PASS
where-angels-play-soi-6                                https://swanpass.com/listing/where-angels-play-soi-6               3       3       3  PASS
kasalong-bj-bar                                        https://swanpass.com/listing/kasalong-bj-bar                      38      38      38  PASS
angel-massage                                          https://swanpass.com/listing/angel-massage                        92      92      92  PASS
nuru-massage-soi-sansabai                              https://swanpass.com/listing/nuru-massage-soi-sansabai            44      44      44  PASS
666-class                                              https://swanpass.com/listing/666-class                           274     274     274  PASS
bb-ex                                                  https://swanpass.com/listing/bb-ex                                 2       0       2  PASS
taki                                                   https://swanpass.com/listing/taki                                  3       3       3  PASS
bangkok-passion                                        https://swanpass.com/listing/bangkok-passion                      75      75      75  PASS
kitty-spa-rca                                          https://swanpass.com/listing/kitty-spa-rca                        22      22      22  PASS
pink-soda                                              https://swanpass.com/listing/pink-soda                             3       3       3  PASS
the-lovers                                             https://swanpass.com/listing/the-lovers                            5       5       5  PASS
waterbomb-massage-bangkok                              https://swanpass.com/listing/waterbomb-massage-bangkok             1       1       1  PASS
blue-ocean-spa                                         https://swanpass.com/listing/blue-ocean-spa                        0       0       0  PASS
xs-gogo-pattaya                                        https://swanpass.com/listing/xs-gogo-pattaya                       3       3       3  PASS
the-lord-2                                             https://swanpass.com/listing/the-lord-2                            0       0       0  PASS
bee-nice-spa                                           https://swanpass.com/listing/bee-nice-spa                          4       4       4  PASS
suan-uthit-road                                        https://swanpass.com/listing/suan-uthit-road                       0       0       0  PASS
maxim-massage-bangkok                                  https://swanpass.com/listing/maxim-massage-bangkok                 7       0       7  PASS
big-bear-club                                          https://swanpass.com/listing/big-bear-club                         1       1       1  PASS
honey                                                  https://swanpass.com/listing/honey                                 2       2       2  PASS
juicy-honey                                            https://swanpass.com/listing/juicy-honey                           0       0       0  PASS
summer-spa                                             https://swanpass.com/listing/summer-spa                            2       2       2  PASS
baan-nine                                              https://swanpass.com/listing/baan-nine                             0       0       0  PASS
aimi-bangkok-bangkok                                   https://swanpass.com/listing/aimi-bangkok-bangkok                  2       2       2  PASS
snow-white-massage                                     https://swanpass.com/listing/snow-white-massage                   52      52      52  PASS
peach-massage-bangkok-20-bangkok                       https://swanpass.com/listing/peach-massage-bangkok-20-bangkok       8       8       8  PASS
pin-up-a-go-go                                         https://swanpass.com/listing/pin-up-a-go-go                        1       1       1  PASS
coffee-room                                            https://swanpass.com/listing/coffee-room                           1       1       1  PASS
baya-massage                                           https://swanpass.com/listing/baya-massage                         12      12      12  PASS
tubtim-vip                                             https://swanpass.com/listing/tubtim-vip                           16      16      16  PASS
red-spa                                                https://swanpass.com/listing/red-spa                               9       9       9  PASS
l-spa                                                  https://swanpass.com/listing/l-spa                                22      22      22  PASS
bb-entertainment-massage                               https://swanpass.com/listing/bb-entertainment-massage             21      21      21  PASS
smile-bangkok                                          https://swanpass.com/listing/smile-bangkok                         5       5       5  PASS
la-defense                                             https://swanpass.com/listing/la-defense                           64      64      64  PASS
escape-a-go-go                                         https://swanpass.com/listing/escape-a-go-go                       11      11      11  PASS
lovely-spa                                             https://swanpass.com/listing/lovely-spa                            0       0       0  PASS
mitu                                                   https://swanpass.com/listing/mitu                                 97      97      97  PASS
orange-oil-massage                                     https://swanpass.com/listing/orange-oil-massage                    0       0       0  PASS
mai-chan                                               https://swanpass.com/listing/mai-chan                             15      15      15  PASS
drake-luxury-lounge-bangkok                            https://swanpass.com/listing/drake-luxury-lounge-bangkok           4       4       4  PASS
dr-bj-s-nuru                                           https://swanpass.com/listing/dr-bj-s-nuru                         69      69      69  PASS
analisa                                                https://swanpass.com/listing/analisa                             132     132     132  PASS
wow                                                    https://swanpass.com/listing/wow                                   0       0       0  PASS
mali-massage                                           https://swanpass.com/listing/mali-massage                          0       0       0  PASS
utopia                                                 https://swanpass.com/listing/utopia                               39      39      39  PASS
lomo-nuru-massage-bangkok                              https://swanpass.com/listing/lomo-nuru-massage-bangkok            13      13      13  PASS
king-s-castle-1                                        https://swanpass.com/listing/king-s-castle-1                      63      63      63  PASS
yesika                                                 https://swanpass.com/listing/yesika                                1       1       1  PASS
bunny-s-massage-phuket                                 https://swanpass.com/listing/bunny-s-massage-phuket                0       0       0  PASS
kawaii-bar                                             https://swanpass.com/listing/kawaii-bar                           25      25      25  PASS
senz-diva-massage                                      https://swanpass.com/listing/senz-diva-massage                    85      85      85  PASS
102-massage                                            https://swanpass.com/listing/102-massage                           2       2       2  PASS
thermae-ruamchit-hotel                                 https://swanpass.com/listing/thermae-ruamchit-hotel               55       0      55  PASS
new-flowers-on-air                                     https://swanpass.com/listing/new-flowers-on-air                    1       1       1  PASS
lily                                                   https://swanpass.com/listing/lily                                  0       0       0  PASS
